mode,n,median_seconds
list,5000,0.002695299917832017
deque,5000,0.0005866000428795815
list,10000,0.00995360012166202
deque,10000,0.0007611000910401344
list,20000,0.03810049989260733
deque,20000,0.0015088999643921852
list,40000,0.14866049983538687
deque,40000,0.0033264998346567154
